iter	Passed	Remaining
0	137	137219
1	138	68964
2	138	46146
3	139	34742
4	140	27902
5	140	23337
6	141	20079
7	142	17636
8	142	15739
9	143	14208
10	144	12955
11	144	11909
12	145	11023
13	145	10266
14	146	9608
15	146	9033
16	147	8525
17	148	8079
18	148	7685
19	150	7387
20	152	7103
21	153	6811
22	153	6540
23	154	6291
24	155	6057
25	155	5841
26	156	5638
27	157	5451
28	157	5280
29	158	5118
30	158	4968
31	159	4827
32	160	4695
33	160	4570
34	161	4452
35	162	4340
36	163	4242
37	163	4145
38	164	4056
39	165	3968
40	166	3888
41	166	3807
42	167	3729
43	168	3658
44	169	3588
45	169	3520
46	170	3454
47	170	3390
48	171	3330
49	172	3271
50	172	3216
51	173	3161
52	174	3109
53	174	3059
54	175	3011
55	175	2964
56	176	2922
57	177	2882
58	178	2842
59	179	2807
60	180	2771
61	180	2737
62	181	2700
63	182	2664
64	182	2628
65	183	2594
66	183	2561
67	184	2525
68	184	2495
69	185	2470
70	186	2443
71	187	2414
72	187	2386
73	188	2359
74	189	2333
75	189	2307
76	190	2282
77	190	2257
78	191	2235
79	194	2232
80	196	2226
81	197	2211
82	198	2192
83	199	2173
84	199	2151
85	200	2135
86	201	2114
87	202	2097
88	203	2081
89	204	2064
90	205	2048
91	205	2030
92	206	2014
93	207	1998
94	208	1982
95	209	1968
96	210	1957
97	211	1944
98	212	1930
99	212	1915
100	213	1900
101	213	1883
102	214	1868
103	215	1854
104	215	1840
105	216	1826
106	217	1812
107	217	1798
108	218	1785
109	219	1772
110	219	1759
111	220	1747
112	221	1735
113	223	1734
114	224	1727
115	225	1716
116	226	1706
117	226	1695
118	227	1683
119	228	1672
120	228	1662
121	229	1651
122	229	1638
123	230	1627
124	231	1617
125	231	1607
126	232	1596
127	232	1585
128	233	1575
129	233	1565
130	234	1556
131	235	1547
132	235	1538
133	236	1529
134	237	1521
135	238	1514
136	239	1507
137	239	1497
138	240	1489
139	241	1481
140	241	1473
141	242	1465
142	243	1458
143	244	1450
144	244	1443
145	245	1436
146	246	1429
147	246	1421
148	247	1414
149	248	1407
150	249	1400
151	249	1394
152	251	1390
153	252	1386
154	253	1381
155	254	1375
156	254	1369
157	255	1362
158	256	1356
159	257	1349
160	257	1343
161	258	1337
162	259	1331
163	259	1324
164	260	1318
165	261	1312
166	262	1306
167	262	1301
168	263	1296
169	265	1298
170	266	1294
171	268	1290
172	268	1284
173	269	1279
174	270	1274
175	271	1268
176	271	1263
177	272	1259
178	273	1253
179	274	1248
180	274	1241
181	275	1236
182	275	1231
183	276	1226
184	277	1221
185	277	1216
186	278	1212
187	279	1207
188	280	1203
189	281	1200
190	282	1196
191	283	1193
192	284	1190
193	285	1186
194	286	1182
195	287	1178
196	288	1174
197	288	1170
198	289	1166
199	290	1162
200	291	1158
201	292	1154
202	293	1151
203	295	1153
204	297	1153
205	298	1151
206	300	1149
207	300	1146
208	301	1141
209	302	1138
210	303	1134
211	304	1130
212	304	1126
213	305	1123
214	306	1119
215	307	1116
216	308	1112
217	310	1113
218	312	1113
219	314	1114
220	315	1113
221	317	1111
222	318	1110
223	319	1107
224	320	1105
225	322	1103
226	323	1101
227	324	1099
228	325	1097
229	326	1094
230	327	1091
231	328	1088
232	329	1085
233	330	1082
234	331	1079
235	332	1076
236	333	1073
237	334	1070
238	335	1067
239	336	1064
240	337	1061
241	339	1064
242	341	1063
243	343	1063
244	344	1061
245	345	1058
246	346	1054
247	346	1051
248	347	1048
249	348	1045
250	349	1042
251	350	1039
252	351	1036
253	352	1034
254	353	1031
255	354	1029
256	355	1027
257	356	1025
258	357	1022
259	358	1019
260	359	1016
261	359	1014
262	361	1011
263	361	1009
264	363	1007
265	364	1005
266	365	1002
267	366	999
268	367	997
269	368	997
270	370	996
271	371	994
272	372	991
273	373	989
274	374	987
275	375	985
276	376	982
277	377	980
278	378	977
279	379	975
280	380	972
281	380	969
282	381	967
283	382	965
284	383	963
285	384	960
286	385	958
287	386	956
288	387	954
289	388	952
290	390	950
291	391	949
292	392	946
293	393	943
294	393	941
295	394	939
296	396	937
297	397	936
298	398	934
299	399	931
300	400	930
301	401	927
302	402	925
303	403	922
304	404	920
305	405	918
306	406	916
307	406	914
308	407	911
309	408	909
310	409	907
311	410	904
312	412	905
313	413	903
314	414	901
315	415	900
316	416	897
317	417	895
318	418	893
319	419	890
320	420	888
321	420	886
322	421	884
323	422	882
324	423	879
325	424	877
326	425	876
327	426	874
328	427	871
329	428	869
330	429	867
331	429	865
332	430	862
333	431	860
334	432	859
335	433	857
336	434	854
337	435	852
338	436	850
339	437	848
340	438	847
341	439	845
342	440	843
343	441	841
344	442	839
345	443	837
346	444	835
347	445	833
348	445	831
349	446	829
350	447	827
351	448	825
352	449	824
353	450	822
354	451	820
355	452	818
356	453	816
357	454	814
358	455	812
