iter	Passed	Remaining
0	169	169312
1	172	86040
2	173	57814
3	174	43537
4	175	34974
5	176	29273
6	177	25217
7	178	22179
8	179	19806
9	180	17911
10	181	16339
11	182	15044
12	184	13984
13	185	13097
14	187	12303
15	188	11582
16	189	10954
17	190	10390
18	191	9882
19	192	9423
20	193	9012
21	194	8638
22	195	8297
23	197	8015
24	199	7779
25	201	7534
26	202	7296
27	203	7068
28	204	6849
29	205	6645
30	206	6451
31	207	6278
32	208	6108
33	213	6065
34	216	5975
35	217	5834
36	218	5697
37	219	5565
38	220	5439
39	221	5327
40	224	5239
41	225	5148
42	226	5051
43	228	4954
44	230	4892
45	235	4876
46	237	4806
47	238	4732
48	239	4653
49	240	4574
50	241	4496
51	242	4422
52	244	4367
53	247	4331
54	249	4286
55	250	4230
56	251	4168
57	252	4108
58	254	4051
59	254	3994
60	255	3938
61	256	3885
62	257	3832
63	266	3903
64	267	3854
65	269	3807
66	270	3765
67	271	3719
68	272	3673
69	273	3629
70	275	3607
71	279	3603
72	281	3574
73	282	3535
74	283	3496
75	284	3459
76	285	3422
77	286	3385
78	287	3350
79	288	3316
80	290	3290
81	293	3280
82	294	3257
83	295	3227
84	296	3195
85	297	3165
86	298	3135
87	299	3105
88	300	3076
89	301	3047
90	302	3023
91	303	2999
92	305	2977
93	308	2977
94	310	2962
95	312	2939
96	313	2915
97	314	2890
98	314	2866
99	315	2841
100	316	2817
101	317	2795
102	318	2776
103	321	2769
104	323	2760
105	325	2742
106	326	2720
107	326	2699
108	327	2678
109	328	2658
110	329	2638
111	330	2618
112	331	2598
113	331	2579
114	338	2607
115	341	2601
116	342	2584
117	343	2567
118	344	2550
119	345	2534
120	346	2519
121	347	2501
122	355	2531
123	356	2521
124	357	2504
125	358	2488
126	359	2470
127	360	2454
128	361	2438
129	362	2422
130	362	2407
131	365	2404
132	368	2404
133	370	2395
134	371	2380
135	372	2366
136	373	2352
137	374	2337
138	375	2323
139	376	2309
140	377	2297
141	384	2321
142	386	2313
143	387	2300
144	387	2287
145	388	2274
146	389	2261
147	390	2249
148	391	2236
149	393	2230
150	395	2224
151	398	2225
152	408	2259
153	409	2248
154	412	2249
155	414	2242
156	416	2233
157	416	2221
158	417	2209
159	418	2198
160	419	2184
161	419	2172
162	420	2160
163	421	2148
164	423	2145
165	425	2138
166	427	2131
167	428	2122
168	429	2111
169	430	2100
170	430	2089
171	431	2078
172	432	2067
173	433	2057
174	434	2047
175	435	2038
176	436	2028
177	439	2030
178	440	2022
179	442	2014
180	442	2004
181	443	1994
182	444	1984
183	445	1974
184	445	1964
185	446	1954
186	447	1944
187	448	1935
188	448	1925
189	449	1916
190	450	1906
191	451	1898
192	451	1889
193	452	1881
194	453	1873
195	454	1864
196	455	1855
197	455	1846
198	456	1837
199	457	1828
200	457	1820
201	458	1811
202	459	1803
203	459	1794
204	460	1787
205	461	1779
206	462	1771
207	463	1763
208	463	1754
209	464	1746
210	465	1738
211	465	1731
212	466	1724
213	467	1717
214	468	1709
215	469	1702
216	469	1695
217	470	1687
218	471	1680
219	471	1672
220	472	1665
221	473	1658
222	473	1650
223	474	1643
224	475	1636
225	475	1629
226	476	1622
227	477	1615
228	477	1608
229	478	1602
230	479	1595
231	480	1588
232	481	1583
233	481	1577
234	482	1572
235	483	1566
236	484	1560
237	485	1554
238	486	1549
239	487	1543
240	488	1538
241	489	1532
242	489	1526
243	490	1520
244	491	1514
245	492	1508
246	492	1502
247	493	1496
248	494	1491
249	495	1485
250	496	1480
251	497	1475
252	497	1470
253	498	1464
254	499	1459
255	500	1453
256	500	1447
257	501	1442
258	502	1437
259	503	1431
260	503	1426
261	504	1421
262	505	1416
263	506	1410
264	506	1405
265	507	1400
266	508	1395
267	508	1390
268	509	1385
269	510	1380
270	511	1375
271	511	1370
272	512	1365
273	513	1361
274	514	1357
275	515	1352
276	516	1348
277	517	1343
278	518	1338
279	518	1334
280	519	1329
281	520	1324
282	521	1319
283	521	1315
284	522	1310
285	522	1305
286	523	1300
287	524	1296
288	525	1291
289	526	1287
290	527	1285
291	528	1281
292	529	1277
293	530	1272
294	530	1268
295	531	1263
296	532	1259
297	532	1254
298	533	1250
299	534	1246
300	534	1241
301	535	1237
302	536	1233
303	536	1228
304	537	1224
305	538	1220
306	538	1215
307	539	1212
308	540	1208
309	541	1205
310	542	1201
311	543	1197
312	544	1194
313	544	1190
314	545	1185
315	546	1181
316	546	1177
317	547	1173
318	547	1169
319	548	1165
320	549	1162
321	550	1158
322	550	1154
323	551	1150
324	552	1146
325	552	1142
326	553	1139
327	554	1135
328	555	1132
329	556	1129
330	557	1125
331	557	1122
332	558	1118
333	559	1115
334	559	1111
335	560	1107
336	561	1104
337	561	1100
338	562	1096
339	563	1093
340	563	1089
341	564	1086
342	565	1082
343	565	1079
344	566	1075
345	567	1072
346	568	1069
347	569	1066
348	569	1062
349	570	1059
350	571	1056
351	572	1053
352	572	1050
353	573	1046
354	574	1043
355	575	1041
356	576	1038
357	578	1036
358	578	1033
359	579	1030
360	580	1026
361	580	1023
362	581	1020
363	582	1017
364	582	1013
365	583	1010
366	584	1007
367	585	1005
368	586	1002
369	587	999
370	588	997
371	588	993
372	589	990
373	590	987
374	590	984
375	591	982
376	592	978
377	593	975
378	593	972
379	594	969
380	595	966
381	595	963
382	596	960
383	597	957
384	597	954
385	598	952
386	599	949
387	600	947
388	601	945
389	602	942
390	603	939
391	603	936
392	604	933
393	605	930
394	605	928
395	606	925
396	607	922
397	607	919
398	608	916
399	609	913
400	609	911
401	610	908
402	611	905
403	611	902
404	612	899
405	613	897
406	614	895
407	615	893
408	616	890
409	617	888
410	618	885
411	619	883
412	620	881
413	621	879
414	622	877
415	623	875
416	624	872
417	625	870
418	625	867
419	626	865
420	627	862
421	628	860
422	630	859
423	630	857
424	631	854
425	632	852
426	633	849
427	633	846
428	634	844
429	635	841
430	635	839
431	636	836
432	637	834
433	637	831
434	638	829
435	639	826
436	639	824
437	640	821
438	641	819
439	642	817
440	643	815
441	643	812
442	644	810
443	645	808
444	646	805
445	646	803
446	647	801
447	648	798
448	649	796
449	650	794
450	650	792
451	651	789
452	652	787
453	652	785
454	653	782
455	654	780
456	654	778
457	655	776
458	656	773
459	657	772
460	658	770
461	659	767
462	660	765
463	661	763
464	661	761
465	663	760
466	664	758
467	665	756
468	665	753
469	666	751
470	667	749
471	667	747
472	668	745
473	669	743
474	670	741
475	671	739
476	672	737
477	673	735
478	674	733
479	674	731
480	675	728
481	676	726
482	677	724
483	677	722
484	678	720
485	679	718
486	679	716
487	680	714
488	681	711
489	681	709
490	683	708
491	684	706
492	685	704
493	685	702
494	686	700
495	687	698
496	688	696
497	689	694
498	690	692
499	690	690
500	691	688
501	692	686
502	693	684
503	693	682
504	694	680
505	695	678
506	695	676
507	697	675
508	698	673
509	699	671
510	699	669
511	700	667
512	701	665
